Descricao;Valor
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3090 Eagle OC, 24gb, GDDR6X - GV-N3090EAGLEOC-24GD;['---']
Placa de Vídeo ZOTAC GAMING GeForce RTX 3060 Twin Edge OC, 15 Gbps, 12GB, GDDR6, Ray Tracing - ZT-A30600H-10M;['---']
Placa de Vídeo EVGA GeForce RTX 3060 XC GAMING, 12GB GDDR6, DualFan, Metal Backplate, DLSS, Ray Tracing - 12G-P5-3657-KR;['---']
Placa de Vídeo Gigabyte GeForce RTX 3060 VISION OC 12G, 12GB GDDR6, RGB Fusion, Ray Tracing, Metal Back Plate - GV-N3060VISION OC-12GD;['---']
Notebook Gamer Gigabyte G5 Intel Core i7-10870H, 16GB, 512GB SSD, 15,6´ 240Hz, NVIDIA RTX 3060 6GB, Windows 10 Home, Preto - KC-8BR2130SH;['---']
Notebook Gamer Gigabyte G7 Intel Core i7-10870H, 16GB, 512GB SSD, 17,3´ 144Hz, Nvidia RTX 3060 6GB, Windows 10 Home, Preto - KC-8BR1130SH;['---']
Placa de Vídeo Gigabyte GeForce RTX 3080 Ti GAMING OC 12G LHR, 12GB GDDR6X, RGB Fusion, Ray Tracing - GV-N308TGAMING OC-12GD;['---']
Placa de Vídeo ASUS TUF NVIDIA GeForce RTX 3070 V2 OC Edition LHR, 14 Gbps, 8GB GDDR6, Ray Tracing, DLSS - TUF-RTX3070-O8G-V2-GAMING;['---']
Placa de Vídeo MSI NVIDIA GeForce RTX 3060 Ti Ventus 2X 8G, 14Gbps, GDDR6, OCV1, LHR, DLSS, Ray Tracing - 912-V397-233;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce GTX 1060 WindForce OC 6G, GDDR5 - GV-N1060WF2OC-6GD;['---']
Computador Intel Extreme Masters Rawar Core i5-7600, 16GB, HD 1TB, SSD 120GB, VGA Asus GTX 1060 6GB, RW263PVM;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 2060 Twin Fan 6GB, GDDR6 - ZT-T20600F-10M;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 2060 XC 6GB, GDDR6 - 06G-P4-2063-KR;['---']
Placa de Vídeo Galax NVIDIA GeForce RTX 2060 6GB, GDDR6 - 26NRL7HPX7OC;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 2060 SC Gaming, 6GB, GDDR6 - 06G-P4-2062-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 2060 Gaming, 6GB GDDR6 - 06G-P4-2060-KR;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 2060 OC, 6GB, GDDR6, REV 2.0 - GV-N2060OC-6GD;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, HD 500GB, RX 570 4GB, Linux - 33684;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 2060 KO Gaming, 6GB, 14.0 Gbps, GDDR6, Ray Tracing, Ansel - 06G-P4-2066-KR;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, SSD 240GB, RX 570 4GB, Linux - 34280;['---']
Computador Gamer Skul 3000 Intel Core i3-9100F, 8GB, 1TB, RX 570 4GB, Linux - 34282;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3080 LHR, 10GB, GDDR6X - ZT-A30800D-10P;['---']
Placa de Vídeo MSI NVIDIA Geforce RTX 3090 Ventus 3X 24G OC, GDDR6X;['---']
Placa de Vídeo MSI NVIDIA Geforce RTX 3080 Gaming X Trio 10G, GDDR6X;['---']
Placa de Vídeo MSI NVIDIA Geforce RTX 3080 Ventus 3X 10G OC, GDDR6X;['---']
Placa de Vídeo Asus NVIDIA TUF RTX 3080, 10GB, GDDR6X - TUF-RTX3080-O10G-GAMING;['---']
Placa de Vídeo Zotac GeForce RTX 3080, 10GB, GDDR6X - ZT-A30800J-10P;['---']
Placa de Vídeo Galax NVIDIA GeForce RTX 3090 SG (1-Click OC), 24GB, GDDR6X - 39NSM5MD1GNA;['---']
Placa de Vídeo Asus NVIDIA GeForce RTX 3080, 10GB, GDDR6X - ROG-STRIX-RTX3080-O10G-GAMING;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080, 10GB, GDDR6X - 10G-P5-3885-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3080, 10GB, GDDR6X - 10G-P5-3897-KR;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080, 10GB, GDDR6X - GV-N3080GAMING OC-10GD;['---']
Placa de Vídeo PNY GEFORCE RTX 3090 XLR8, 24GB, GDDR6X - VCG309024TFXMPB;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3090 GAMING OC 24G, GDDR6X - GV-N3090GAMING OC-24GD;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3090, 24GB, GDDR6X - 24G-P5-3975-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3090, 24GB, GDDR6X - 24G-P5-3987-KR;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3090 Trinity, 24GB, GDDR6X - ZT-A30900D-10P;['---']
Placa de Vídeo Asus NVIDIA GeForce RTX 3070, 8GB, GDDR6 - RTX DUAL-RTX3070-O8G;['---']
Placa de Vídeo Asus NVIDIA GeForce TUF Gaming RTX 3070, O8G, GDDR6 - TUF-RTX3070-O8G-GAMING;['---']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3070 Twin Edge OC, 8GB, GDDR6 - ZT-A30700H-10P;['---']
Computador Gamer G-Fire Ryzen 5 3600, 16GB, SSD 256GB, Linux - HTG-R704 + Placa de Ví­deo Gigabyte AMD Radeon RX 580 Gaming, 8GB, GDDR5, REV2.0;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3070 Gaming OC 8G, 8gb, GDDR6 - GV-N3070GAMING OC-8GD;['---']
Placa de Vídeo MSI Geforce RTX 3070 Ventus 2X OC;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3070 FTW3 ULTRA GAMING, 8GB, GDDR6, ARGB LED, Metal Backplate iCX3 Cooling - 08G-P5-3767-KR;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3070 VISION OC 8G, 8GB, GDDR6 - GV-N3070VISION OC-8GD;['---']
Placa de Vídeo Gigabyte NVIDIA AORUS GeForce RTX 3070 MASTER, 8G, GDDR6 - GV-N3070AORUS M-8GD;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti, 8GB, AORUS Master - GV-N306TAORUS M-8GD;['---']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3060 Ti, 8GB, GAMING OC PRO - GV-N306TGAMINGOC PRO-8GD;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3060 Ti FTW3 ULTRA GAMING, 8GB, GDDR6 - 08G-P5-3667-KR;['---']
Placa de Vídeo EVGA NVIDIA GeForce RTX 3070 XC3 ULTRA GAMING, 8GB, GDDR6, iCX3 Cooling, ARGB LED - 08G-P5-3755-KR;['---']
Placa de Vídeo Gigabyte NVIDIA AORUS GeForce RTX 3080 Master, 10GB, GDDR6X - GV-N3080AORUS M-10GD;['---']
Placa de Vídeo Asus Rog Strix NVIDIA GeForce RTX 3090, 24GB, GDDR6 - ROG-STRIX-RTX3090-O24G-WHITE;['---']
Placa de Vídeo Asus Rog Strix NVIDIA GeForce RTX 3080, 10GB, GDDR6 - ROG-STRIX-RTX3080-O10G-WHITE;['---']
Placa de Vídeo Asus Rog Strix NVIDIA RTX 3070, 8GB, GDDR6 - ROG-STRIX-RTX3070-O8G-WHITE;['---']
Placa de Vídeo ASUS NVIDIA GeForce RTX 3090, 24GB GDDR6X, 19.5 Gbps, Ray Tracing, Suporte até 4 Telas - ROG-STRIX-RTX3090-24G-GAMING;['---']
Notebook Gamer Acer Nitro 5 AMD Ryzen 7-3750H 8GB 1TB SSD 128GB GeForce GTX 1650 4GB 15.6 AN515-43-R4C3 + Antivírus Norton 360 for Gamers;['---']
Placa de Vídeo ASUS Gaming NVIDIA GeForce RTX 3060 Ti, 14 Gbps, 8GB, GDDR6, DLSS, Ray Tracing - TUF-RTX3060TI-8G-GAMING;['---']
Placa de Vídeo Asus NVIDIA Geforce RTX 3090, 19.5 Gbps, 24GB, GDDR6X, Branco - ROG-STRIX-RTX3090-24G-WHITE;['---']
Placa de Vídeo Galax NVIDIA Geforce RTX 3070, 14 Gbps, 8GB, GDDR6, DLSS, Ray Tracing - 37NSL6MD2KOC;['---']
Placa de Vídeo Asus NVIDIA Geforce RTX 3070, 14 Gbps, 8GB, GDDR6, Ray Tracing, DLSS - RTX3070-8G-EK;['---']
Placa de Vídeo ASUS NVIDIA GeForce RTX 3060, 15 Gbps, 12GB GDDR6, Ray Tracing, DLSS - DUAL-RTX3060-O12G;['---']
Computador Gamer Skull AMD R5 3400G, 8GB, 1TB, SSD 240GB, GTX 1650, Linux + Antiví­rus Norton 360 Gamer para 3 Dispositivos - 21415189;['---']
